rag_variant,qid,source_dataset,question,prediction,gold_answer,pathway,reliability_score,ndcg_at_3,mrr_at_3,recall_at_3,precision_at_3,hit_rate_at_3,semantic_similarity,rouge_l,f1_score,bleu,exact_match,faithfulness,hallucination_rate,latency_seconds,abstained,abstain_was_correct,hypothetical_f1
vanilla,hotpotqa_5a8b57f25542995d1e6f1371,BeIR/hotpotqa,Were Scott Derrickson and Ed Wood of the same nationality?,"No, Scott Derrickson and Ed Wood were not of the same nationality. Ed Wood was American, while there is no information provided about Scott Derrickson's nationality in the given context.","Edward Davis Wood Jr. (October 10, 1924 – December 10, 1978) was an American filmmaker, actor, writer, producer, and director.",Direct,0.0,0.6131471927654584,1.0,0.5,0.3333333333333333,1.0,0.31334999203681946,0.12000000000000001,0.15999999999999998,0.008531104334876973,0.0,0.35371264815330505,0.646287351846695,5.4179418087005615,False,,
vanilla,hotpotqa_5a8c7595554299585d9e36b6,BeIR/hotpotqa,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,"The context provided does not mention any government position held by the actress who portrayed Corliss Archer in the film Kiss and Tell. Shirley Temple, who played the role at age 17, was an actress and child star, not a government official.","Shirley Temple Black (April 23, 1928 – February 10, 2014) was an American actress, singer, dancer, businesswoman, and diplomat who was Hollywood's number one box-office draw as a child actress from 1935 to 1938. As an adult, she was named United States ambassador to Ghana and to Czechoslovakia and also served as Chief of Protocol of the United States.",Direct,0.0,0.6131471927654584,1.0,0.5,0.3333333333333333,1.0,0.3860403895378113,0.13725490196078433,0.23762376237623764,0.011533935338376107,0.0,0.6474968194961548,0.3525031805038452,5.922406196594238,False,,
vanilla,hotpotqa_5a85ea095542994775f606a8,BeIR/hotpotqa,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?","The science fantasy young adult series told in first person that has a set of companion books narrating the stories of enslaved worlds and alien species is Animorphs. The companion book mentioned, ""The Hork-Bajir Chronicles,"" tells the story of the enslaved Hork-Bajir and involves other alien species like the Yeerks and Andalites.","Animorphs is a science fantasy series of young adult books written by Katherine Applegate and her husband Michael Grant, writing together under the name K. A. Applegate, and published by Scholastic. It is told in first person, with all six main characters taking turns narrating the books through their own perspectives. Horror, war, dehumanization, sanity, morality, innocence, leadership, freedom and growing up are the core themes of the series.",Direct,0.0,0.6934264036172708,0.5,1.0,0.6666666666666666,1.0,0.737036943435669,0.22764227642276422,0.3801652892561983,0.060505963155541284,0.0,0.7495237588882446,0.25047624111175537,8.030917882919312,False,,
vanilla,hotpotqa_5adbf0a255429947ff17385a,BeIR/hotpotqa,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,"No, the Laleli Mosque and Esma Sultan Mansion are not located in the same neighborhood. The Laleli Mosque is located in Laleli, Fatih, while the Esma Sultan Mansion is located in Ortaköy, Istanbul.","The Laleli Mosque (Turkish: ""Laleli Camii, or Tulip Mosque"" ) is an 18th-century Ottoman imperial mosque located in Laleli, Fatih, Istanbul, Turkey.",Direct,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5886246562004089,0.3928571428571429,0.39999999999999997,0.11548887885010663,0.0,0.6851902008056641,0.31480979919433594,5.252660036087036,False,,
vanilla,hotpotqa_5a8e3ea95542995a26add48d,BeIR/hotpotqa,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","The context does not provide information about the director's place of residence. It only states that Adriana Trigiani wrote and directed the film, and that the film is an American production. Therefore, based on the given information, we cannot determine which New York city the director is based in.","Adriana Trigiani is an Italian American best-selling author of sixteen books, television writer, film director, and entrepreneur based in Greenwich Village, New York City. Trigiani has published a novel a year since 2000.",Direct,0.0,0.6131471927654584,1.0,0.5,0.3333333333333333,1.0,0.5264512300491333,0.21428571428571427,0.3373493975903614,0.03354657719523497,0.0,0.40498265624046326,0.5950173437595367,7.498962640762329,False,,
vanilla,hotpotqa_5abd94525542992ac4f382d2,BeIR/hotpotqa,2014 S/S is the debut album of a South Korean boy group that was formed by who?,"2014 S/S is the debut album of the South Korean boy group WINNER, which was formed by YG Entertainment.","2014 S/S is the debut album of South Korean group WINNER. It was released on August 12, 2014 by the group's record label, YG Entertainment. The members were credited for writing the lyrics and composing the majority of the album's songs.",Direct,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.9084962606430054,0.5000000000000001,0.53125,0.14115981524088572,0.0,0.8241482973098755,0.1758517026901245,3.6557390689849854,False,,
vanilla,hotpotqa_5a85b2d95542997b5ce40028,BeIR/hotpotqa,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,"Eenasul Fateh, also known by his stage name Aladin, was a Bangladeshi-British cultural practitioner, magician, live artist, and former international management consultant who helped organizations improve their performance as a consultant.","Management consulting is the practice of helping organizations to improve their performance, operating primarily through the analysis of existing organizational problems and the development of plans for improvement. Organizations may draw upon the services of management consultants for a number of reasons, including gaining external (and presumably objective) advice and access to the consultants' specialized expertise.",Direct,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.16935044527053833,0.20454545454545459,0.16091954022988506,0.016473458230742567,0.0,0.8058327436447144,0.19416725635528564,5.530995607376099,False,,
vanilla,hotpotqa_5a87ab905542996e4f3088c1,BeIR/hotpotqa,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"The arena where the Lewiston Maineiacs played their home games can seat 4,000 people (3,677 seated).","The Androscoggin Bank Colisée (formerly Central Maine Civic Center and Lewiston Colisee) is a 4,000 capacity (3,677 seated) multi-purpose arena, in Lewiston, Maine, that opened in 1958. In 1965 it was the location of the World Heavyweight Title fight during which one of the most famous sports photographs of the century was taken of Muhammed Ali standing over Sonny Liston.",Direct,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5105000138282776,0.17073170731707318,0.22222222222222224,0.0063917763315155165,0.0,0.6172182559967041,0.3827817440032959,4.2309229373931885,False,,
vanilla,hotpotqa_5a7bbb64554299042af8f7cc,BeIR/hotpotqa,"Who is older, Annie Morton or Terry Richardson?","The context provided does not contain information about Terry Richardson's birth date. Therefore, it is not possible to determine from the given information who is older between Annie Morton and Terry Richardson.","Annie Morton (born October 8, 1970) is an American model born in Pennsylvania. She has appeared on the covers of ""British Vogue"", ""ID"", ""Marie Claire"", and other magazines. She has been photographed by Helmut Newton; Peter Lindbergh; Annie Leibovitz; Richard Avedon; Juergen Teller; Paul Jasmin, Mary Ellen Mark and Terry Richardson, and modeled for Donna Karan, Givenchy, Guerlain, Chanel, ""Harper's Bazaar"", ""Sports Illustrated"" and Victoria's Secret. A long time vegetarian, an advocate for organic lifestyle choices and natural healthcare. She co-founded Tsi-La Organics, a ""Green Luxury"" company that creates and sells vegan, organic perfume and skin care products.",Direct,0.0,0.6131471927654584,1.0,0.5,0.3333333333333333,1.0,0.21666109561920166,0.08888888888888888,0.12030075187969924,0.0051911872093629635,0.0,0.3227071762084961,0.6772928237915039,5.759913921356201,False,,
vanilla,hotpotqa_5a8db19d5542994ba4e3dd00,BeIR/hotpotqa,Are Local H and For Against both from the United States?,"No, Local H is from the United States. There is no mention of a band or group named ""For Against"" in the provided context, so their origin cannot be determined from the given information.","For Against is a United States post-punk/dream pop band from Lincoln, Nebraska. Despite numerous lineup shuffles and some periods of dormancy, the band has produced material steadily from its 1984 inception to the present.",Direct,0.0,0.6131471927654584,1.0,0.5,0.3333333333333333,1.0,0.42201364040374756,0.19999999999999998,0.3478260869565218,0.020924414331022444,0.0,0.49614036083221436,0.5038596391677856,5.467784881591797,False,,
