dataset,model,mode,query,ground_truth,prediction,EM,F1,top_doc,doc_probs,all_docs,answer_candidates,faithfulness,grounding,retrieval_recall,hallucination_score,is_hallucinated
SQuAD,Qwen/Qwen2.5-7B-Instruct,local,To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,Saint Bernadette Soubirous," I don't know. The context provided does not contain information about the apparitions of the Virgin Mary in Lourdes in 1858. It only mentions Carrel's experiences and a shrine named after Lourdes. Therefore, based solely on the given context, the answer cannot be determined.",0,0.0,"This conversion came about after he witnessed the inexplicable healing of Marie Bailly. The Catholic journal Le Nouvelliste reported that she identified Carrel as the principal witness of her cure. Despite facing opposition from his peers in the medical community, Carrel refused to dismiss a supernatural explanation for the event and went on to publish his account of the experience in the book, The Voyage to Lourdes, which was released four years after his death. However, his beliefs proved to be a hindrance to his career and reputation in academic medicine in France. As a result, Carrel moved to Canada","[0.348978728055954, 0.3327610492706299, 0.31826022267341614]","['This conversion came about after he witnessed the inexplicable healing of Marie Bailly. The Catholic journal Le Nouvelliste reported that she identified Carrel as the principal witness of her cure. Despite facing opposition from his peers in the medical community, Carrel refused to dismiss a supernatural explanation for the event and went on to publish his account of the experience in the book, The Voyage to Lourdes, which was released four years after his death. However, his beliefs proved to be a hindrance to his career and reputation in academic medicine in France. As a result, Carrel moved to Canada', '75% of the population. In addition to Catholicism, there is a diverse range of religions practiced in Aruba, including Protestantism, Islam, Hinduism, Judaism, and spiritual beliefs of the indigenous people (e.g. African diaspora reigions, Santería, or brua). Shrine The Lourdes Grotto, named after the famous French religious pilgrimage site, was constructed in 1958 by a priest named Erkamp and his parishioners. This shrine is nestled into the rocks of Seroe Preto, just off the main road to San Nicolas. Inside the cave, there is a statue of the Virgin Mary, easily visible from the main road. Each year, on February', 'at the Church of St Mary Magdalene, Hucknall']","["" I don't know. The context provided does not contain information about the apparitions of the Virgin Mary in Lourdes in 1858. It only mentions Carrel's experiences and a shrine named after Lourdes. Therefore, based solely on the given context, the answer cannot be determined.""]",0,0.32432432432432434,0,0.0972972972972973,False
SQuAD,Qwen/Qwen2.5-7B-Instruct,local,What is in front of the Notre Dame Main Building?,a copper statue of Christ," I don't know. 

The provided context does not mention anything in front of the Notre Dame Main Building. It only describes the location and some features of Notre Dame d'Afrique, a church overlooking the sea. There is no information about what is in front of this particular building. Therefore, based solely on the given context, the answer is that it is unknown.",0,0.05970149253731343,"deys until the close of the 19th century. The French, after their occupation of the city (1830), built a rampart, parapet and ditch, with two terminal forts, Bab Azoun باب عزون to the south and Bab-el-Oued اد to the north. The forts and part of the ramparts were demolished at the beginning of the 20th century, when a line of forts occupying the heights of Bouzareah بوزريعة (at an elevation of above the sea) took their place. Notre Dame d'Afrique, a church built (1858–1872) in a mixture of the Roman and Byzantine styles, is conspicuously situated overlooking the sea, on","[0.34045347571372986, 0.33427131175994873, 0.3252752423286438]","[""deys until the close of the 19th century. The French, after their occupation of the city (1830), built a rampart, parapet and ditch, with two terminal forts, Bab Azoun باب عزون to the south and Bab-el-Oued اد to the north. The forts and part of the ramparts were demolished at the beginning of the 20th century, when a line of forts occupying the heights of Bouzareah بوزريعة (at an elevation of above the sea) took their place. Notre Dame d'Afrique, a church built (1858–1872) in a mixture of the Roman and Byzantine styles, is conspicuously situated overlooking the sea, on"", ""remaining gate in the medieval walls. It was the belfry of the old Town Hall. It consists of two circular towers and a central bell tower housing a bell weighing . The clock is from 1759. Grande Synagogue, completed 1882 Rue Sainte-Catherine, the longest pedestrian street in France Darwin ecosystem, alternative place into former military barracks The BETASOM submarine base Contemporary architecture Cité Frugès, district of Pessac, built by Le Corbusier, 1924–1926, listed as UNESCO heritage Fire Station, la Benauge, Claude Ferret/Adrien Courtois/Yves Salier, 1951–1954 Mériadeck district, 1960-70's Court of first instance, Richard Rogers, 1998 CTBA, wood and furniture research"", ""top in a turret and cross, represents the lance of Saint George (patron saint of Catalonia, Gaudí's home), which has been plunged into the back of the dragon. In 2005, became an UNESCO World Heritage Site among the other Works of Antoni Gaudí, and is visited by people from around the world. History Initial construction (1877) The building that is now was built in 1877, commissioned by Lluís Sala Sánchez. It was a classical building without remarkable characteristics within the eclecticism traditional by the end of the 19th century. The building had a basement, a ground floor, four other floors""]","["" I don't know. \n\nThe provided context does not mention anything in front of the Notre Dame Main Building. It only describes the location and some features of Notre Dame d'Afrique, a church overlooking the sea. There is no information about what is in front of this particular building. Therefore, based solely on the given context, the answer is that it is unknown.""]",0,0.28888888888888886,0,0.08666666666666666,True
SQuAD,Qwen/Qwen2.5-7B-Instruct,local,The Basilica of the Sacred heart at Notre Dame is beside to which structure?,the Main Building, I don't know. The context does not mention the Basilica of the Sacred Heart at Notre Dame or its location relative to any other structure. It only mentions the National Basilica of the Sacred Heart in Brussels.,0,0.05,"Roman Catholic, especially since the expulsion of Protestants in the 16th century. This is clear from the large number of historical churches in the region, particularly in the City of Brussels. The pre-eminent Catholic cathedral in Brussels is the Cathedral of St. Michael and St. Gudula, serving as the co-cathedral of the Archdiocese of Mechelen–Brussels. On the north-western side of the region, the National Basilica of the Sacred Heart is a Minor Basilica and parish church, as well as one of the largest churches by area in the world. The Church of Our Lady of Laeken holds the tombs of","[0.3588901460170746, 0.3257962167263031, 0.3153136074542999]","['Roman Catholic, especially since the expulsion of Protestants in the 16th century. This is clear from the large number of historical churches in the region, particularly in the City of Brussels. The pre-eminent Catholic cathedral in Brussels is the Cathedral of St. Michael and St. Gudula, serving as the co-cathedral of the Archdiocese of Mechelen–Brussels. On the north-western side of the region, the National Basilica of the Sacred Heart is a Minor Basilica and parish church, as well as one of the largest churches by area in the world. The Church of Our Lady of Laeken holds the tombs of', 'Holy Cross and St. Eulalia (Gothic) Gothic basilica of Santa Maria del Mar Gothic basilica of Santa Maria del Pi Romanesque church of Sant Pau del Camp Palau Reial Major, medieval residence of the sovereign Counts of Barcelona, later Kings of Aragon The Royal Shipyard (gothic) Monastery of Pedralbes (gothic) The Columbus Monument The Arc de Triomf, a triumphal arch built for entrance to 1888 Barcelona Universal Exposition. Expiatory church of the Sacred Heart of Jesus on the summit of Tibidabo. The Historic Building of the University of Barcelona Museums Barcelona has a great number of museums, which cover different', '(1440–1450), a massive, quadrangular Gothic tower annexed to the cathedral. Sainte-Croix church: This church, dedicated to the Holy Cross, stands on the site of a seventh-century abbey destroyed by the Saracens. Rebuilt under the Carolingians, it was again destroyed by the Normans in 845 and 864. The present building was erected and was built in the late 11th and early 12th centuries. The façade is in Romanesque style. The Gothic Saint Michel Basilica, constructed between the end of the 14th century and the 16th century. Basilica of Saint Severinus, the oldest church in Bordeaux, built in the early sixth century']","["" I don't know. The context does not mention the Basilica of the Sacred Heart at Notre Dame or its location relative to any other structure. It only mentions the National Basilica of the Sacred Heart in Brussels.""]",0,0.27586206896551724,0,0.08275862068965517,True
SQuAD,Qwen/Qwen2.5-7B-Instruct,local,What is the Grotto at Notre Dame?,a Marian place of prayer and reflection," I don't know. The context does not provide information about a Grotto at Notre Dame. It mentions a Lourdes Grotto in Aruba, but not one at Notre Dame.",0,0.05714285714285715,"the shoulder of the Bouzareah hills, to the north of the city. Above the altar is a statue of the Virgin depicted as a black woman. The church also contains a solid silver statue of the archangel Michael, belonging to the confraternity of Neapolitan fishermen. Villa Abd-el-Tif, former residence of the dey, was used during the French period, to accommodate French artists, chiefly painters, and winners of the Abd-el-Tif prize, among whom Maurice Boitel, for a while of two years. Nowadays, Algerian artists are back in the villa's studios. Monuments Notre Dame d'Afrique, accessible by one cable car, is one","[0.3469174802303314, 0.3345124125480652, 0.3185701072216034]","[""the shoulder of the Bouzareah hills, to the north of the city. Above the altar is a statue of the Virgin depicted as a black woman. The church also contains a solid silver statue of the archangel Michael, belonging to the confraternity of Neapolitan fishermen. Villa Abd-el-Tif, former residence of the dey, was used during the French period, to accommodate French artists, chiefly painters, and winners of the Abd-el-Tif prize, among whom Maurice Boitel, for a while of two years. Nowadays, Algerian artists are back in the villa's studios. Monuments Notre Dame d'Afrique, accessible by one cable car, is one"", '75% of the population. In addition to Catholicism, there is a diverse range of religions practiced in Aruba, including Protestantism, Islam, Hinduism, Judaism, and spiritual beliefs of the indigenous people (e.g. African diaspora reigions, Santería, or brua). Shrine The Lourdes Grotto, named after the famous French religious pilgrimage site, was constructed in 1958 by a priest named Erkamp and his parishioners. This shrine is nestled into the rocks of Seroe Preto, just off the main road to San Nicolas. Inside the cave, there is a statue of the Virgin Mary, easily visible from the main road. Each year, on February', 'characters in Roman mythology (by James Pradier): The ceiling with 21 sculpted roses: Interior of the Arc de Triomphe: There are several plaques at the foot of the monument: Access The Arc de Triomphe is accessible by the RER and Métro, with exit at the Charles de Gaulle–Étoile station. Because of heavy traffic on the roundabout of which the Arc is the centre, it is recommended that pedestrians use one of two underpasses located at the Champs Élysées and the Avenue de la Grande Armée. A lift will take visitors almost to the top – to the attic, where a']","["" I don't know. The context does not provide information about a Grotto at Notre Dame. It mentions a Lourdes Grotto in Aruba, but not one at Notre Dame.""]",0,0.2727272727272727,0,0.0818181818181818,True
SQuAD,Qwen/Qwen2.5-7B-Instruct,local,What sits on top of the Main Building at Notre Dame?,a golden statue of the Virgin Mary," I don't know. The provided context does not mention anything about the top of the Main Building at Notre Dame. The context talks about Notre Dame d'Afrique, a church located in another city, not Notre Dame University. Therefore, based on the given information, there is no answer to this question. 

If you need more specific information about the architecture of Notre Dame University's Main Building, you would need additional context or resources related to that particular university. Based on the given context, the",0,0.06666666666666667,"top in a turret and cross, represents the lance of Saint George (patron saint of Catalonia, Gaudí's home), which has been plunged into the back of the dragon. In 2005, became an UNESCO World Heritage Site among the other Works of Antoni Gaudí, and is visited by people from around the world. History Initial construction (1877) The building that is now was built in 1877, commissioned by Lluís Sala Sánchez. It was a classical building without remarkable characteristics within the eclecticism traditional by the end of the 19th century. The building had a basement, a ground floor, four other floors","[0.3403862416744232, 0.3300088047981262, 0.32960495352745056]","[""top in a turret and cross, represents the lance of Saint George (patron saint of Catalonia, Gaudí's home), which has been plunged into the back of the dragon. In 2005, became an UNESCO World Heritage Site among the other Works of Antoni Gaudí, and is visited by people from around the world. History Initial construction (1877) The building that is now was built in 1877, commissioned by Lluís Sala Sánchez. It was a classical building without remarkable characteristics within the eclecticism traditional by the end of the 19th century. The building had a basement, a ground floor, four other floors"", ""deys until the close of the 19th century. The French, after their occupation of the city (1830), built a rampart, parapet and ditch, with two terminal forts, Bab Azoun باب عزون to the south and Bab-el-Oued اد to the north. The forts and part of the ramparts were demolished at the beginning of the 20th century, when a line of forts occupying the heights of Bouzareah بوزريعة (at an elevation of above the sea) took their place. Notre Dame d'Afrique, a church built (1858–1872) in a mixture of the Roman and Byzantine styles, is conspicuously situated overlooking the sea, on"", ""campus, constructed primary between 1770 and 1926, is defined by three greens: the Front or Quiet Green, the Middle or College Green, and the Ruth J. Simmons Quadrangle (historically known as Lincoln Field). A brick and wrought-iron fence punctuated by decorative gates and arches traces the block's perimeter. This section of campus is primarily Georgian and Richardsonian Romanesque in its architectural character. To the south of the central campus are academic buildings and residential quadrangles, including Wriston, Keeney, and Gregorian quadrangles. Immediately to the east of the campus core sit Sciences Park and Brown's School of Engineering. North of the""]","["" I don't know. The provided context does not mention anything about the top of the Main Building at Notre Dame. The context talks about Notre Dame d'Afrique, a church located in another city, not Notre Dame University. Therefore, based on the given information, there is no answer to this question. \n\nIf you need more specific information about the architecture of Notre Dame University's Main Building, you would need additional context or resources related to that particular university. Based on the given context, the""]",0,0.24528301886792453,0,0.07358490566037736,True
SQuAD,Qwen/Qwen2.5-7B-Instruct,local,When did the Scholastic Magazine of Notre dame begin publishing?,September 1876," I don't know. The provided context does not contain any information about the Scholastic Magazine of Notre Dame or its publishing history. The context focuses on the Annals of Mathematics and its history. Therefore, based solely on the given information, there is no answer to the question asked. 

If you need additional information, please provide the relevant details or another source. Otherwise, my response remains that I don't know. 

The context does not mention the Scholastic Magazine of Notre Dame at",0,0.0,winners Role-playing game magazines Science fiction organizations Magazines published in Los Angeles,"[0.3356649577617645, 0.33368968963623047, 0.3306453824043274]","['winners Role-playing game magazines Science fiction organizations Magazines published in Los Angeles', 'well-known and respected journal. Its rise, in turn, stimulated American mathematics. Norman Steenrod characterized Lefschetz\' impact as editor as follows: ""The importance to American mathematicians of a first-class journal is that it sets high standards for them to aim at. In this somewhat indirect manner, Lefschetz profoundly affected the development of mathematics in the United States."" Princeton University continued to publish the Annals on its own until 1933, when the Institute for Advanced Study took joint editorial control. Since 1998 it has been available in an electronic edition, alongside its regular print edition. The electronic edition was available without charge,', ""for more than a year or two. This incarnation of the journal ceased publication after its tenth year, in 1883, giving as an explanation Hendricks' declining health, but Hendricks made arrangements to have it taken over by new management, and it was continued from March 1884 as the Annals of Mathematics. The new incarnation of the journal was edited by Ormond Stone (University of Virginia). It moved to Harvard in 1899 before reaching its current home in Princeton in 1911. An important period for the journal was 1928–1958 with Solomon Lefschetz as editor. During this time, it became an increasingly""]","["" I don't know. The provided context does not contain any information about the Scholastic Magazine of Notre Dame or its publishing history. The context focuses on the Annals of Mathematics and its history. Therefore, based solely on the given information, there is no answer to the question asked. \n\nIf you need additional information, please provide the relevant details or another source. Otherwise, my response remains that I don't know. \n\nThe context does not mention the Scholastic Magazine of Notre Dame at""]",0,0.2037037037037037,0,0.0611111111111111,True
SQuAD,Qwen/Qwen2.5-7B-Instruct,local,How often is Notre Dame's the Juggler published?,twice," I don't know. The provided context does not contain any information about a publication named ""Notre Dame's the Juggler"". It lists various works by different authors including Anatole France, Al Capp, and others, but none of these are related to the question asked. Therefore, based on the given context, there is no answer available to the question posed.",0,0.0,"of the Angels) (1914) (1920) illustrated by Fernand Siméon Memoirs (My Friend's Book) (1885) (1899) (Little Pierre) (1918) (The Bloom of Life) (1922) Plays (1898) Crainquebille (1903) (The Man Who Married A Dumb Wife) (1908) (The Wicker Woman) (1928) Historical biography (The Life of Joan of Arc) (1908) Literary criticism Alfred de Vigny (1869) (1888) (The Latin Genius) (1909) Social criticism (The Garden of Epicurus) (1895) (1902) (1904) (1906) (1915) , in four volumes, (1949, 1953, 1964, 1973) References External links List of Works ""Anatole France, Nobel Prize Winner"" by Herbert S. Gorman, The New York Times'', 20 November 1921","[0.34157001972198486, 0.33047184348106384, 0.3279581367969513]","['of the Angels) (1914) (1920) illustrated by Fernand Siméon Memoirs (My Friend\'s Book) (1885) (1899) (Little Pierre) (1918) (The Bloom of Life) (1922) Plays (1898) Crainquebille (1903) (The Man Who Married A Dumb Wife) (1908) (The Wicker Woman) (1928) Historical biography (The Life of Joan of Arc) (1908) Literary criticism Alfred de Vigny (1869) (1888) (The Latin Genius) (1909) Social criticism (The Garden of Epicurus) (1895) (1902) (1904) (1906) (1915) , in four volumes, (1949, 1953, 1964, 1973) References External links List of Works ""Anatole France, Nobel Prize Winner"" by Herbert S. Gorman, The New York Times\'\', 20 November 1921', 'Magazine (November 6, 1950) ""Die Monstersinger"" Capp, Al, Life Magazine (March 31, 1952) ""It\'s Hideously True!!..."" Capp, Al, Real Magazine (December 1952) ""The REAL Powers in America"" Capp, Al, The World of Li\'l Abner (1953) Farrar, Straus & Young Leifer, Fred, The Li\'l Abner Official Square Dance Handbook (1953) A.S. Barnes Mikes, George, Eight Humorists (1954) Allen Wingate, (1977) Arden Library Lehrer, Tom, The Tom Lehrer Song Book, introduction by Al Capp (1954) Crown Publishers Capp, Al, Al Capp\'s Fearless Fosdick: His Life and Deaths (1956) Simon & Schuster Capp, Al, Al Capp\'s Bald Iggle: The Life it Ruins May', 'his edition Beowulf and The Fight at Finnsburg; it became the ""central source used by graduate students for the study of the poem and by scholars and teachers as the basis of their translations."" The edition included an extensive glossary of Old English terms. His third edition was published in 1936, with the last version in his lifetime being a revised reprint in 1950. Klaeber\'s text was re-presented with new introductory material, notes, and glosses, in a fourth edition in 2008. Another widely used edition is Elliott Van Kirk Dobbie\'s, published in 1953 in the Anglo-Saxon Poetic Records series. The']","[' I don\'t know. The provided context does not contain any information about a publication named ""Notre Dame\'s the Juggler"". It lists various works by different authors including Anatole France, Al Capp, and others, but none of these are related to the question asked. Therefore, based on the given context, there is no answer available to the question posed.']",0,0.13725490196078433,0,0.041176470588235294,True
SQuAD,Qwen/Qwen2.5-7B-Instruct,local,What is the daily student paper at Notre Dame called?,The Observer," I don't know. The provided context does not contain any information about Notre Dame or its student newspaper. It focuses on university faculty, book types, and Arizona State University's rankings and achievements. Therefore, there is no relevant information to answer the question about Notre Dame's student paper. 

If you need this information, you may want to refer to specific sources related to Notre Dame University.",0,0.029850746268656723,University faculty,"[0.3429832458496094, 0.3287777900695801, 0.3282390236854553]","['University faculty', 'include cookbooks and home improvement books. Students typically store and carry textbooks and schoolbooks for study purposes. Unpublished Many types of book are private, often filled in by the owner, for a variety of personal records. Elementary school pupils often use workbooks, which are published with spaces or blanks to be filled by them for study or homework. In US higher education, it is common for a student to take an exam using a blue book. There is a large set of books that are made only to write private ideas, notes, and accounts. These books are rarely published and', 'its 2020 ""Best Colleges for Your Money"" edition. The Wall Street Journal ranks ASU 5th in the nation for producing the best-qualified graduates, determined by a nationwide poll of corporate recruiters. ASU\'s Walter Cronkite School of Journalism and Mass Communication has been named one of America\'s top 10 journalism schools by national publications and organizations for more than a decade. The rankings include: College Magazine (10th), Quality Education and Jobs (6th), and International Student (1st). For its efforts as a national leader in campus sustainability, ASU was named one of the top 6 ""Cool Schools"" by the Sierra Club in']","["" I don't know. The provided context does not contain any information about Notre Dame or its student newspaper. It focuses on university faculty, book types, and Arizona State University's rankings and achievements. Therefore, there is no relevant information to answer the question about Notre Dame's student paper. \n\nIf you need this information, you may want to refer to specific sources related to Notre Dame University.""]",0,0.19607843137254902,0,0.058823529411764705,True
SQuAD,Qwen/Qwen2.5-7B-Instruct,local,How many student news papers are found at Notre Dame?,three," I don't know. The provided context does not mention Notre Dame or any of its student newspapers. It discusses Presentation College and The State Press, but there is no information about Notre Dame. Therefore, based on the given context, the answer is that I don't know. 

If you need information about Notre Dame specifically, please provide additional context or details related to Notre Dame University. Otherwise, the answer remains ""I don't know."" 

The context provided does not contain relevant information to answer the",0,0.0,"on a campus, and was founded in 1951. Enrollment in fall 2014 was reported to be 735. PC offers 26 programs between the main Aberdeen campus and the other campuses located throughout the state. Most of the degrees offered are in the health-care field. The student to teacher ratio is 12:1. Presentation's mascot is the Saint, giving it the nickname the Presentation College Saints. Presentation College announced that it would no longer take new enrollments, and close the college at the end of the summer semester in 2023. Media The American News was founded as a weekly newspaper in 1885,","[0.3527267277240753, 0.3293866515159607, 0.3178865909576416]","[""on a campus, and was founded in 1951. Enrollment in fall 2014 was reported to be 735. PC offers 26 programs between the main Aberdeen campus and the other campuses located throughout the state. Most of the degrees offered are in the health-care field. The student to teacher ratio is 12:1. Presentation's mascot is the Saint, giving it the nickname the Presentation College Saints. Presentation College announced that it would no longer take new enrollments, and close the college at the end of the summer semester in 2023. Media The American News was founded as a weekly newspaper in 1885,"", ""including the Interfraternity Council (IFC), Multicultural Greek Council (MGC), National Association of Latino Fraternal Organizations (NALFO), National Pan-Hellenic Council (NPHC), Panhellenic Association (PHA), and the Professional Fraternity Council (PFC). Student media The State Press is the university's independent, student-operated news publication. The State Press covers news and events on all four ASU campuses. Student editors and managers are solely responsible for the content of the State Press website. These publications are overseen by an independent board and guided by a professional adviser employed by the university. The Downtown Devil is a student-run news publication website for the Downtown Phoenix Campus,"", 'several English media organisations operate in Brussels. The most popular of these are the English-language daily news media platform and bi-monthly magazine The Brussels Times and the quarterly magazine and website The Bulletin. The multilingual pan-European news channel Euronews also maintains an office in Brussels. Education Tertiary education There are several universities in Brussels. Except for the Royal Military Academy, a federal military college established in 1834, all universities in Brussels are private and autonomous. The Royal Military Academy also the only Belgian university organised on the boarding school model. The Université libre de Bruxelles (ULB), a French-speaking university, with']","[' I don\'t know. The provided context does not mention Notre Dame or any of its student newspapers. It discusses Presentation College and The State Press, but there is no information about Notre Dame. Therefore, based on the given context, the answer is that I don\'t know. \n\nIf you need information about Notre Dame specifically, please provide additional context or details related to Notre Dame University. Otherwise, the answer remains ""I don\'t know."" \n\nThe context provided does not contain relevant information to answer the']",0,0.2549019607843137,0,0.07647058823529411,True
SQuAD,Qwen/Qwen2.5-7B-Instruct,local,In what year did the student paper Common Sense begin publication at Notre Dame?,1987," I don't know. The provided context does not contain any information about a student paper named ""Common Sense"" or its publication at Notre Dame. The context is about educational reforms at Brown University and some philosophical works by A.J. Ayer. Therefore, based on the given information, it's impossible to answer the question accurately. 

If you have additional information that could help answer this question, please provide it. Otherwise, the correct response is ""I don't know."" 

The context also mentions",0,0.0,"the third year, as Part III only emerged as a separate degree in 1934) from February 1931 to November 1934 at King's College, Cambridge, where he was awarded first-class honours in mathematics. His dissertation, On the Gaussian error function, written during his senior year and delivered in November 1934 (with a deadline date of 6 December) proved a version of the central limit theorem. It was finally accepted on 16 March 1935. By spring of that same year, Turing started his master's course (Part III)—which he completed in 1937—and, at the same time, he published his first paper, a one-page","[0.33814969658851624, 0.33348047733306885, 0.32836976647377014]","[""the third year, as Part III only emerged as a separate degree in 1934) from February 1931 to November 1934 at King's College, Cambridge, where he was awarded first-class honours in mathematics. His dissertation, On the Gaussian error function, written during his senior year and delivered in November 1934 (with a deadline date of 6 December) proved a version of the central limit theorem. It was finally accepted on 16 March 1935. By spring of that same year, Turing started his master's course (Part III)—which he completed in 1937—and, at the same time, he published his first paper, a one-page"", 'of their education"" and ""teach students how to think rather than just teaching facts"". Members of the GISP, Ira Magaziner and Elliot Maxwell published a paper of their findings titled, ""Draft of a Working Paper for Education at Brown University."" The paper made proposals for a new curriculum, including interdisciplinary freshman-year courses that would introduce ""modes of thought,"" with instruction from faculty from different disciplines as well as for an end to letter grades. The following year Magaziner began organizing the student body to press for the reforms, organizing discussions and protests. In 1968, university president Ray Heffner established a', 'Other Essays, London: Macmillan. (Essays on truth, privacy and private languages, laws of nature, the concept of a person, probability.) 1967, ""Has Austin Refuted the Sense-Datum Theory?"" Synthese vol. XVIII, pp. 117–140. (Reprinted in Ayer 1969). 1968, The Origins of Pragmatism, London: Macmillan. 1969, Metaphysics and Common Sense, London: Macmillan. (Essays on knowledge, man as a subject for science, chance, philosophy and politics, existentialism, metaphysics, and a reply to Austin on sense-data theory [Ayer 1967].) 1971, Russell and Moore: The Analytical Heritage, London: Macmillan. 1972, Probability and Evidence, London: Macmillan. 1972, Russell, London: Fontana Modern Masters. 1973, The Central Questions']","[' I don\'t know. The provided context does not contain any information about a student paper named ""Common Sense"" or its publication at Notre Dame. The context is about educational reforms at Brown University and some philosophical works by A.J. Ayer. Therefore, based on the given information, it\'s impossible to answer the question accurately. \n\nIf you have additional information that could help answer this question, please provide it. Otherwise, the correct response is ""I don\'t know."" \n\nThe context also mentions']",0,0.18032786885245902,0,0.054098360655737705,True
