dataset,model,mode,query,ground_truth,prediction,EM,F1,top_doc,doc_probs,all_docs,answer_candidates,faithfulness,grounding,retrieval_recall,hallucination_score,is_hallucinated
SQuAD,Qwen/Qwen2.5-7B-Instruct,local,To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,Saint Bernadette Soubirous," I don't know. The context provided does not contain information about the Virgin Mary appearing in Lourdes in 1858. It discusses Joan of Arc and other unrelated events. Therefore, based solely on the given context, there is no answer available to this question. The context does not provide any details about the apparitions of the Virgin Mary at Lourdes or any other location in 1858. Thus, the appropriate response is ""I don't know."" 

This",0,0.0,"Joan of Arc Joan of Arc (; ; 6 January – 30 May 1431), nicknamed ""The Maid of Orléans"" (), is considered a heroine of France for her role during the Lancastrian phase of the Hundred Years' War, and was canonized as a Roman Catholic saint. She was born to Jacques d'Arc and Isabelle Romée, a peasant family, at Domrémy in north-east France. Joan claimed to have received visions of the Archangel Michael, Saint Margaret, and Saint Catherine of Alexandria instructing her to support Charles VII and recover France from English domination late in the Hundred Years' War. The uncrowned","[0.4078282117843628, 0.33297398686408997, 0.25919777154922485]","['Joan of Arc Joan of Arc (; ; 6 January – 30 May 1431), nicknamed ""The Maid of Orléans"" (), is considered a heroine of France for her role during the Lancastrian phase of the Hundred Years\' War, and was canonized as a Roman Catholic saint. She was born to Jacques d\'Arc and Isabelle Romée, a peasant family, at Domrémy in north-east France. Joan claimed to have received visions of the Archangel Michael, Saint Margaret, and Saint Catherine of Alexandria instructing her to support Charles VII and recover France from English domination late in the Hundred Years\' War. The uncrowned', 'women flee the city, heading to the Americas. Along the way, Cunégonde falls into self-pity, complaining of all the misfortunes that have befallen her. The old woman reciprocates by revealing her own tragic life: born the daughter of Pope Urban X and the Princess of Palestrina, she was raped and enslaved by African pirates, witnessed violent civil wars in Morocco under the bloodthirsty King Moulay Ismaïl (during which her mother was drawn and quartered), suffered further slavery and famine, nearly died from a plague in Algiers, and had a buttock cut off to feed starving Janissaries during the Russian siege', 'chambermaid who infected Pangloss with his syphilis, in Venice. She is now a prostitute, and is spending her time with a Theatine monk, Brother Giroflée. Although both appear happy on the surface, they reveal their despair: Paquette has led a miserable existence as a sexual object, and the monk detests the religious order in which he was indoctrinated. Candide gives two thousand piastres to Paquette and one thousand to Brother Giroflée. Candide and Martin visit the Lord Pococurante, a noble Venetian. That evening, Cacambo—now a slave—arrives and informs Candide that Cunégonde is in Constantinople. Prior to their departure, Candide and']","[' I don\'t know. The context provided does not contain information about the Virgin Mary appearing in Lourdes in 1858. It discusses Joan of Arc and other unrelated events. Therefore, based solely on the given context, there is no answer available to this question. The context does not provide any details about the apparitions of the Virgin Mary at Lourdes or any other location in 1858. Thus, the appropriate response is ""I don\'t know."" \n\nThis']",0,0.1836734693877551,0,0.05510204081632653,True
SQuAD,Qwen/Qwen2.5-7B-Instruct,local,What is in front of the Notre Dame Main Building?,a copper statue of Christ," I don't know. 

The provided context does not mention anything about Notre Dame or what is in front of its main building. The information given is about the Arc de Triomphe, Place de l'Étoile, and the Louvre's alignment with the Historic Axis. Therefore, based solely on the given context, there is no information available to answer the question about Notre Dame.",0,0.030303030303030307,"Arc de Triomphe The Arc de Triomphe de l'Étoile (, ""Triumphal Arch of the Star"") is one of the most famous monuments in Paris, standing at the western end of the Champs-Élysées at the center of Place Charles de Gaulle, formerly named ""Place de l'Étoile"" — the ""étoile"" or ""star"" of the juncture formed by its twelve radiating avenues. The location of the arc and the plaza is shared between three arrondissements, 16th (south and west), 17th (north), and 8th (east). The Arc de Triomphe should not be confused with a smaller arch, the Arc de Triomphe du Carrousel, which","[0.7271476984024048, 0.20549613237380981, 0.0673561692237854]","['Arc de Triomphe The Arc de Triomphe de l\'Étoile (, ""Triumphal Arch of the Star"") is one of the most famous monuments in Paris, standing at the western end of the Champs-Élysées at the center of Place Charles de Gaulle, formerly named ""Place de l\'Étoile"" — the ""étoile"" or ""star"" of the juncture formed by its twelve radiating avenues. The location of the arc and the plaza is shared between three arrondissements, 16th (south and west), 17th (north), and 8th (east). The Arc de Triomphe should not be confused with a smaller arch, the Arc de Triomphe du Carrousel, which', 'Place de l\'Étoile, is shared between three arrondissements, 16th (south and west), 17th (north), and 8th (east). Arc de Triomphe The Arc de Triomphe de l\'Étoile (, ""Triumphal Arch of the Star"") is one of the most famous monuments in Paris, standing at the western end of the Champs-Élysées at the center of Place Charles de Gaulle, formerly named ""Place de l\'Étoile"" — the ""étoile"" or ""star"" of the juncture formed by its twelve radiating avenues. The location of the arc and the plaza is shared between three arrondissements, 16th (south and west), 17th (north), and 8th (east). The Arc', 'Claude Monet. The Louvre is slightly askew of the Historic Axis (""Axe historique""), a roughly eight-kilometre (five-mile) architectural line bisecting the city. It begins on the east in the Louvre courtyard and runs west along the Champs-Élysées. In 1871, the burning of the Tuileries Palace by the Paris Commune revealed that the Louvre was slightly askew of the ""Axe"" despite past appearances to the contrary. The Louvre can be reached by the Palais Royal – Musée du Louvre Métro or the Louvre-Rivoli stations. The Louvre has three entrances: the main entrance at the pyramid, an entrance from the Carrousel du']","["" I don't know. \n\nThe provided context does not mention anything about Notre Dame or what is in front of its main building. The information given is about the Arc de Triomphe, Place de l'Étoile, and the Louvre's alignment with the Historic Axis. Therefore, based solely on the given context, there is no information available to answer the question about Notre Dame.""]",0,0.3111111111111111,0,0.09333333333333334,False
SQuAD,Qwen/Qwen2.5-7B-Instruct,local,The Basilica of the Sacred heart at Notre Dame is beside to which structure?,the Main Building," I don't know. The provided context does not mention the Basilica of the Sacred Heart at Notre Dame or any structure beside it. The context describes the Church of the Holy Sepulchre and its features. Therefore, based solely on the given information, there is no answer to the question. 

If you have additional context about the Basilica of the Sacred Heart at Notre Dame, please provide it so I can give an accurate response. Otherwise, the answer remains ""I don't know.""",0,0.023809523809523808,"pilgrims were trampled to death. The ""Immovable Ladder"", in its latest incarnation, stands beneath a window on the façade. Historically, two large, arched doors allowed access to the church. However, only the left-hand entrance is currently accessible, as the right door has long since been bricked up. These entrances are located in the parvis of a larger courtyard, or plaza. Just inside the church is a stairway climbing to Calvary (Golgotha), traditionally regarded as the site of Jesus' crucifixion and the most lavishly decorated part of the church. The exit is via another stairway opposite the first, leading down to","[0.688634991645813, 0.17331896722316742, 0.1380460113286972]","['pilgrims were trampled to death. The ""Immovable Ladder"", in its latest incarnation, stands beneath a window on the façade. Historically, two large, arched doors allowed access to the church. However, only the left-hand entrance is currently accessible, as the right door has long since been bricked up. These entrances are located in the parvis of a larger courtyard, or plaza. Just inside the church is a stairway climbing to Calvary (Golgotha), traditionally regarded as the site of Jesus\' crucifixion and the most lavishly decorated part of the church. The exit is via another stairway opposite the first, leading down to', 'and resurrected. The tomb is enclosed by the 19th-century shrine, called the Aedicule (Edicule). The ""Status Quo"", a 150-year-old understanding between religious communities, applies to the site. Within the church proper are the last four (or, by some definitions, five) Stations of the Via Dolorosa, representing the final episodes of Jesus\' Passion. The church has been a major Christian pilgrimage destination since its creation in the fourth century, as the traditional site of the Resurrection of Christ, thus its original Greek name, Church of the Anastasis. Today, the wider complex accumulated during the centuries around the Church of the Holy', 'from the Catholicon, sits on top of the now-empty and desecrated graves of four 12th-century crusader kings—including Godfrey of Bouillon and Baldwin I of Jerusalem—and is no longer structurally necessary. There is a difference of opinion as to whether it is to be seen as the 13th Station of the Cross, which others identify as the lowering of Jesus from the cross and locate between the 11th and 12th stations on Calvary. The lamps that hang over the Stone of Unction, adorned with cross-bearing chain links, are contributed by Armenians, Copts, Greeks and Latins. Immediately to the left of the']","[' I don\'t know. The provided context does not mention the Basilica of the Sacred Heart at Notre Dame or any structure beside it. The context describes the Church of the Holy Sepulchre and its features. Therefore, based solely on the given information, there is no answer to the question. \n\nIf you have additional context about the Basilica of the Sacred Heart at Notre Dame, please provide it so I can give an accurate response. Otherwise, the answer remains ""I don\'t know.""']",0,0.18181818181818182,0,0.05454545454545454,True
SQuAD,Qwen/Qwen2.5-7B-Instruct,local,What is the Grotto at Notre Dame?,a Marian place of prayer and reflection," I don't know. The provided context does not contain any information about the Grotto at Notre Dame. The text discusses Lascaux Cave, Newgrange passage tomb, and the monastery's lighting features, but does not mention the Grotto at Notre Dame. Therefore, based solely on the given context, there is no answer available for this question. 

If you need more information about the Grotto at Notre Dame, you may want to refer to additional sources or context related to",0,0.02380952380952381,"as biology, biochemistry, botany, hydrology, climatology, geology, fluid mechanics, archaeology, anthropology, restoration and conservation, from numerous countries (France, United States, Portugal, Spain, Japan, and others) contributed to this publication. The problem is ongoing, as are efforts to control the microbial and fungal growths in the cave. The fungal infection crises have led to the establishment of an International Scientific Committee for Lascaux and to rethinking how, and how much, human access should be permitted in caves containing prehistoric art. Lascaux Lascaux (, ""Lascaux Cave""; , ) is the setting of a complex of caves near the village of Montignac, in","[0.5467648506164551, 0.31219154596328735, 0.14104357361793518]","['as biology, biochemistry, botany, hydrology, climatology, geology, fluid mechanics, archaeology, anthropology, restoration and conservation, from numerous countries (France, United States, Portugal, Spain, Japan, and others) contributed to this publication. The problem is ongoing, as are efforts to control the microbial and fungal growths in the cave. The fungal infection crises have led to the establishment of an International Scientific Committee for Lascaux and to rethinking how, and how much, human access should be permitted in caves containing prehistoric art. Lascaux Lascaux (, ""Lascaux Cave""; , ) is the setting of a complex of caves near the village of Montignac, in', ""on heritage sites of astronomy and archaeoastronomy that provides a list of the main sites around the world. Newgrange is a passage tomb in the Republic of Ireland dating from around 3,300 to 2,900 BC For a few days around the Winter Solstice light shines along the central passageway into the heart of the tomb. What makes this notable is not that light shines in the passageway, but that it does not do so through the main entrance. Instead it enters via a hollow box above the main doorway discovered by Michael O'Kelly. It is this roofbox which strongly indicates"", 'with light coming through a single square in the roof and six small band on the sides. The Crypt beneath has intense blue, red and yellow walls, and illumination by sunlight channeled from above. The monastery has other unusual features, including floor to ceiling panels of glass in the meeting rooms, window panels that fragmented the view into pieces, and a system of concrete and metal tubes like gun barrels which aimed sunlight through colored prisms and projected it onto the walls of sacristy and to the secondary altars of the crypt on the level below. These were whimsically termed']","["" I don't know. The provided context does not contain any information about the Grotto at Notre Dame. The text discusses Lascaux Cave, Newgrange passage tomb, and the monastery's lighting features, but does not mention the Grotto at Notre Dame. Therefore, based solely on the given context, there is no answer available for this question. \n\nIf you need more information about the Grotto at Notre Dame, you may want to refer to additional sources or context related to""]",0,0.24074074074074073,0,0.07222222222222222,True
SQuAD,Qwen/Qwen2.5-7B-Instruct,local,What sits on top of the Main Building at Notre Dame?,a golden statue of the Virgin Mary," I don't know. The provided context does not mention anything about the Main Building at Notre Dame or any structure sitting on top of it. The text discusses the Arc de Triomphe and the concept of a cupola in architecture, but does not provide information relevant to the question about Notre Dame. Therefore, based on the given context, the answer is that I don't know. 

If you need more specific information about Notre Dame, please provide additional context or details. Otherwise, the answer remains",0,0.06593406593406594,"and its iconographic program pits heroically nude French youths against bearded Germanic warriors in chain mail. It set the tone for public monuments with triumphant patriotic messages. Inspired by the Arch of Titus in Rome, Italy, the Arc de Triomphe has an overall height of , width of , and depth of , while its large vault is high and wide. The smaller transverse vaults are high and wide. Three weeks after the Paris victory parade in 1919 (marking the end of hostilities in World War I), Charles Godefroy flew his Nieuport biplane under the arch's primary vault, with the","[0.4743853807449341, 0.3521784245967865, 0.17343616485595703]","[""and its iconographic program pits heroically nude French youths against bearded Germanic warriors in chain mail. It set the tone for public monuments with triumphant patriotic messages. Inspired by the Arch of Titus in Rome, Italy, the Arc de Triomphe has an overall height of , width of , and depth of , while its large vault is high and wide. The smaller transverse vaults are high and wide. Three weeks after the Paris victory parade in 1919 (marking the end of hostilities in World War I), Charles Godefroy flew his Nieuport biplane under the arch's primary vault, with the"", 'Cupola In architecture, a cupola is a relatively small, most often dome-like, tall structure on top of a building. Often used to provide a lookout or to admit light and air, it usually crowns a larger roof or dome. The word derives, via Italian, from the lower Latin ""cupula"" (classical Latin ""cupella"" from the Greek κύπελλον ""kupellon"") ""small cup"" (Latin ""cupa"") indicating a vault resembling an upside down cup. The cupola is a development during the Renaissance of the oculus, an ancient device found in Roman architecture, but being weatherproof was superior for the wetter climates of northern Europe. The', 'armored glass to provide 360-degree vision around the vehicle. Cupola In architecture, a cupola is a relatively small, most often dome-like, tall structure on top of a building. Often used to provide a lookout or to admit light and air, it usually crowns a larger roof or dome. The word derives, via Italian, from the lower Latin ""cupula"" (classical Latin ""cupella"" from the Greek κύπελλον ""kupellon"") ""small cup"" (Latin ""cupa"") indicating a vault resembling an upside down cup. The cupola is a development during the Renaissance of the oculus, an ancient device found in Roman architecture, but being weatherproof was']","["" I don't know. The provided context does not mention anything about the Main Building at Notre Dame or any structure sitting on top of it. The text discusses the Arc de Triomphe and the concept of a cupola in architecture, but does not provide information relevant to the question about Notre Dame. Therefore, based on the given context, the answer is that I don't know. \n\nIf you need more specific information about Notre Dame, please provide additional context or details. Otherwise, the answer remains""]",0,0.2982456140350877,0,0.0894736842105263,True
SQuAD,Qwen/Qwen2.5-7B-Instruct,local,When did the Scholastic Magazine of Notre dame begin publishing?,September 1876," I don't know. The provided context does not contain information about the Scholastic Magazine of Notre Dame or its start date. It discusses other magazines and their founding dates but does not mention this particular publication. Therefore, based solely on the given context, there is insufficient information to answer the question accurately. 

If you need more accurate information, you may want to refer to additional sources specifically related to the history of the Scholastic Magazine of Notre Dame. 

Please note that the context provided does",0,0.0,"Tidings, founded in 1895 (renamed Angelus in 2016), and published jointly by The Tidings Corporation and the Roman Catholic Archdiocese of Los Angeles, and Maryknoll, founded in 1907 by the Foreign Mission Society of America which brings news about the organization's charitable and missionary work in over 100 countries. There are over 100 Catholic magazines published in the United States, and thousands globally which range in scope from inspirational messages to specific religious orders, faithful family life, to global issues facing the world wide Church. The Watchtower publication was started by Charles Taze Russell on July 1879 under the title","[0.8212005496025085, 0.10930507630109787, 0.06949444115161896]","[""Tidings, founded in 1895 (renamed Angelus in 2016), and published jointly by The Tidings Corporation and the Roman Catholic Archdiocese of Los Angeles, and Maryknoll, founded in 1907 by the Foreign Mission Society of America which brings news about the organization's charitable and missionary work in over 100 countries. There are over 100 Catholic magazines published in the United States, and thousands globally which range in scope from inspirational messages to specific religious orders, faithful family life, to global issues facing the world wide Church. The Watchtower publication was started by Charles Taze Russell on July 1879 under the title"", 'the campus, influencing the later National Lampoon Brand in its evolution from illustration heavy publications to satirical wit, ranging from short fiction to comic strips. The magazine\'s first issue was dated April 1970. The company that owned the magazine was called Twenty First Century Communications. After a shaky start for a few issues, the magazine rapidly grew in popularity. Like the ""Harvard Lampoon,"" individual issues had themes, including such topics as ""The Future,"" ""Back to School,"" ""Death,"" ""Self-Indulgence,"" and ""Blight."" The magazine regularly reprinted material in ""best-of"" omnibus collections. Its writers joyfully targeted every kind of phoniness, and had no', 'and modern technology such as automobiles and telephones. Religious groups have used magazines for spreading and communicating religious doctrine for over 100 years. ""The Friend"" was founded in Philadelphia in 1827 at the time of a major Quaker schism; it has been continually published and was renamed Friends Journal when the rival Quaker groups formally reconciled in the mid-1950s. Several Catholic magazines launched at the turn of the 20th Century that still remain in circulation including; St. Anthony Messenger founded in 1893 and published by the Franciscan Friars (O.F.M.) of St. John the Baptist Province, Cincinnati, Ohio, Los Angeles based']","["" I don't know. The provided context does not contain information about the Scholastic Magazine of Notre Dame or its start date. It discusses other magazines and their founding dates but does not mention this particular publication. Therefore, based solely on the given context, there is insufficient information to answer the question accurately. \n\nIf you need more accurate information, you may want to refer to additional sources specifically related to the history of the Scholastic Magazine of Notre Dame. \n\nPlease note that the context provided does""]",0,0.14754098360655737,0,0.04426229508196721,True
SQuAD,Qwen/Qwen2.5-7B-Instruct,local,How often is Notre Dame's the Juggler published?,twice," I don't know. The context provided does not contain any information about Notre Dame's the Juggler or its publication frequency. The context discusses various publications including Tidings/Angelus, Maryknoll, The Watchtower, Casey at the Bat, and The New Yorker, but none of them are related to Notre Dame's the Juggler. Therefore, based on the given information, the answer is that it cannot be determined how often Notre Dame's the Juggler is published",0,0.0,"Tidings, founded in 1895 (renamed Angelus in 2016), and published jointly by The Tidings Corporation and the Roman Catholic Archdiocese of Los Angeles, and Maryknoll, founded in 1907 by the Foreign Mission Society of America which brings news about the organization's charitable and missionary work in over 100 countries. There are over 100 Catholic magazines published in the United States, and thousands globally which range in scope from inspirational messages to specific religious orders, faithful family life, to global issues facing the world wide Church. The Watchtower publication was started by Charles Taze Russell on July 1879 under the title","[0.8060888648033142, 0.10291677713394165, 0.09099435061216354]","[""Tidings, founded in 1895 (renamed Angelus in 2016), and published jointly by The Tidings Corporation and the Roman Catholic Archdiocese of Los Angeles, and Maryknoll, founded in 1907 by the Foreign Mission Society of America which brings news about the organization's charitable and missionary work in over 100 countries. There are over 100 Catholic magazines published in the United States, and thousands globally which range in scope from inspirational messages to specific religious orders, faithful family life, to global issues facing the world wide Church. The Watchtower publication was started by Charles Taze Russell on July 1879 under the title"", 'Casey at the Bat ""Casey at the Bat: A Ballad of the Republic Sung in the Year 1888"" is a baseball poem written in 1888 by Ernest Thayer. First published in ""The San Francisco Examiner"" (then called ""The Daily Examiner"") on June 3, 1888, it was later popularized by DeWolf Hopper in many vaudeville performances. It has become one of the best-known poems in American literature. The poem was originally published anonymously (under the pen name ""Phin"", based on Thayer\'s college nickname, ""Phinney""). A baseball team from the fictional town of ""Mudville"" (implied to be the home team) is losing', 'The New Yorker The New Yorker is an American magazine of reportage, commentary, criticism, essays, fiction, satire, cartoons, and poetry. It is published by Condé Nast. Started as a weekly in 1925, the magazine is now published 47 times annually, with five of these issues covering two-week spans. Although its reviews and events listings often focus on the cultural life of New York City, ""The New Yorker"" has a wide audience outside New York and is read internationally. It is well known for its illustrated and often topical covers, its commentaries on popular culture and eccentric Americana, its attention to']","["" I don't know. The context provided does not contain any information about Notre Dame's the Juggler or its publication frequency. The context discusses various publications including Tidings/Angelus, Maryknoll, The Watchtower, Casey at the Bat, and The New Yorker, but none of them are related to Notre Dame's the Juggler. Therefore, based on the given information, the answer is that it cannot be determined how often Notre Dame's the Juggler is published""]",0,0.22641509433962265,0,0.06792452830188679,True
SQuAD,Qwen/Qwen2.5-7B-Instruct,local,What is the daily student paper at Notre Dame called?,The Observer," I don't know. The provided context does not mention any student paper at Notre Dame. It only discusses the ""Williams Record"" at Williams College.",0,0.07692307692307693,"newspaper at Williams is the ""Williams Record"", a weekly broadsheet paper published on Wednesdays. The newspaper was founded in 1887, and now has a weekly circulation of 3,000 copies distributed in Williamstown, in addition to more than 600 subscribers across the country. The newspaper formerly received no financial support from the college or from the student government and relied on revenue generated by local and national ad sales, subscriptions, and voluntary contributions for use of its website, but the paper went into debt in 2004 and is now subsidized by the Student Activities Tax. Both Sawyer Library and the College","[0.44194501638412476, 0.30523547530174255, 0.2528194487094879]","['newspaper at Williams is the ""Williams Record"", a weekly broadsheet paper published on Wednesdays. The newspaper was founded in 1887, and now has a weekly circulation of 3,000 copies distributed in Williamstown, in addition to more than 600 subscribers across the country. The newspaper formerly received no financial support from the college or from the student government and relied on revenue generated by local and national ad sales, subscriptions, and voluntary contributions for use of its website, but the paper went into debt in 2004 and is now subsidized by the Student Activities Tax. Both Sawyer Library and the College', 'and headlines and the masthead above ""The Talk of the Town"" section, is Irvin, named after its creator, the designer-illustrator Rea Irvin. The body text of all articles in ""The New Yorker"" is set in Adobe Caslon. One uncommonly formal feature of the magazine\'s in-house style is the placement of diaeresis marks in words with repeating vowels—such as ""reëlected"", ""preëminent"", and ""coöperate""—in which the two vowel letters indicate separate vowel sounds. The magazine also continues to use a few spellings that are otherwise little used, such as ""focussed"", ""venders"", ""teen-ager"", ""traveller"", ""marvellous"", ""carrousel"", and ""cannister"". The magazine also spells out', 'The New Yorker The New Yorker is an American magazine of reportage, commentary, criticism, essays, fiction, satire, cartoons, and poetry. It is published by Condé Nast. Started as a weekly in 1925, the magazine is now published 47 times annually, with five of these issues covering two-week spans. Although its reviews and events listings often focus on the cultural life of New York City, ""The New Yorker"" has a wide audience outside New York and is read internationally. It is well known for its illustrated and often topical covers, its commentaries on popular culture and eccentric Americana, its attention to']","[' I don\'t know. The provided context does not mention any student paper at Notre Dame. It only discusses the ""Williams Record"" at Williams College.']",0,0.3333333333333333,0,0.09999999999999999,False
SQuAD,Qwen/Qwen2.5-7B-Instruct,local,How many student news papers are found at Notre Dame?,three," I don't know. The provided context does not mention any student newspapers at Notre Dame. It only discusses the ""Williams Record"" at Williams College and ""The Rice Standard"" at Rice University. Therefore, based on the given information, there is no data about student newspapers at Notre Dame. 

If you have additional information that could help answer this question, please provide it. Otherwise, the answer remains ""I don't know."" 

Let me know if you need anything else! I'll be happy",0,0.0,"newspaper at Williams is the ""Williams Record"", a weekly broadsheet paper published on Wednesdays. The newspaper was founded in 1887, and now has a weekly circulation of 3,000 copies distributed in Williamstown, in addition to more than 600 subscribers across the country. The newspaper formerly received no financial support from the college or from the student government and relied on revenue generated by local and national ad sales, subscriptions, and voluntary contributions for use of its website, but the paper went into debt in 2004 and is now subsidized by the Student Activities Tax. Both Sawyer Library and the College","[0.683478057384491, 0.2236144095659256, 0.09290751069784164]","['newspaper at Williams is the ""Williams Record"", a weekly broadsheet paper published on Wednesdays. The newspaper was founded in 1887, and now has a weekly circulation of 3,000 copies distributed in Williamstown, in addition to more than 600 subscribers across the country. The newspaper formerly received no financial support from the college or from the student government and relied on revenue generated by local and national ad sales, subscriptions, and voluntary contributions for use of its website, but the paper went into debt in 2004 and is now subsidized by the Student Activities Tax. Both Sawyer Library and the College', 'an independent, student-run variety magazine modeled after such publications as ""The New Yorker"" and ""Harper\'s"". Prior to fall 2009, it was regularly published three times a semester with a wide array of content, running from analyses of current events and philosophical pieces to personal essays, short fiction and poetry. In August 2009, the ""Standard"" transitioned to a completely online format with the launch of their redesigned website, ricestandard.org. The first website of its kind on Rice\'s campus, the ""Standard"" featured blog-style content written by and for Rice students. ""The Rice Standard"" had around 20 regular contributors, and the site features', 'with portions of all other buildings with the exception of North Quad, Northwood, and Stockwell Hall. The Sophomore Experience is housed in Stockwell Hall and the Transfer Year Experience is housed in Northwood III. The newly organized International Impact program is housed in North Quad. The University lists 1,438 student organizations. With a history of student activism, some of the most visible groups include those dedicated to causes such as civil rights and labor rights, such as local chapters of Students for a Democratic Society and United Students Against Sweatshops (USAS). The latter group seeks to hold accountable multinational companies']","[' I don\'t know. The provided context does not mention any student newspapers at Notre Dame. It only discusses the ""Williams Record"" at Williams College and ""The Rice Standard"" at Rice University. Therefore, based on the given information, there is no data about student newspapers at Notre Dame. \n\nIf you have additional information that could help answer this question, please provide it. Otherwise, the answer remains ""I don\'t know."" \n\nLet me know if you need anything else! I\'ll be happy']",0,0.17543859649122806,1,0.05263157894736842,True
SQuAD,Qwen/Qwen2.5-7B-Instruct,local,In what year did the student paper Common Sense begin publication at Notre Dame?,1987, I don't know. The provided context does not mention any publication named Common Sense or its start date at Notre Dame. It discusses other magazines and publications but does not contain the specific information requested.,0,0.0,"the campus, influencing the later National Lampoon Brand in its evolution from illustration heavy publications to satirical wit, ranging from short fiction to comic strips. The magazine's first issue was dated April 1970. The company that owned the magazine was called Twenty First Century Communications. After a shaky start for a few issues, the magazine rapidly grew in popularity. Like the ""Harvard Lampoon,"" individual issues had themes, including such topics as ""The Future,"" ""Back to School,"" ""Death,"" ""Self-Indulgence,"" and ""Blight."" The magazine regularly reprinted material in ""best-of"" omnibus collections. Its writers joyfully targeted every kind of phoniness, and had no","[0.7801437973976135, 0.14502288401126862, 0.07483329623937607]","['the campus, influencing the later National Lampoon Brand in its evolution from illustration heavy publications to satirical wit, ranging from short fiction to comic strips. The magazine\'s first issue was dated April 1970. The company that owned the magazine was called Twenty First Century Communications. After a shaky start for a few issues, the magazine rapidly grew in popularity. Like the ""Harvard Lampoon,"" individual issues had themes, including such topics as ""The Future,"" ""Back to School,"" ""Death,"" ""Self-Indulgence,"" and ""Blight."" The magazine regularly reprinted material in ""best-of"" omnibus collections. Its writers joyfully targeted every kind of phoniness, and had no', ""Tidings, founded in 1895 (renamed Angelus in 2016), and published jointly by The Tidings Corporation and the Roman Catholic Archdiocese of Los Angeles, and Maryknoll, founded in 1907 by the Foreign Mission Society of America which brings news about the organization's charitable and missionary work in over 100 countries. There are over 100 Catholic magazines published in the United States, and thousands globally which range in scope from inspirational messages to specific religious orders, faithful family life, to global issues facing the world wide Church. The Watchtower publication was started by Charles Taze Russell on July 1879 under the title"", 'and modern technology such as automobiles and telephones. Religious groups have used magazines for spreading and communicating religious doctrine for over 100 years. ""The Friend"" was founded in Philadelphia in 1827 at the time of a major Quaker schism; it has been continually published and was renamed Friends Journal when the rival Quaker groups formally reconciled in the mid-1950s. Several Catholic magazines launched at the turn of the 20th Century that still remain in circulation including; St. Anthony Messenger founded in 1893 and published by the Franciscan Friars (O.F.M.) of St. John the Baptist Province, Cincinnati, Ohio, Los Angeles based']","["" I don't know. The provided context does not mention any publication named Common Sense or its start date at Notre Dame. It discusses other magazines and publications but does not contain the specific information requested.""]",0,0.1875,0,0.056249999999999994,True
