dataset,model,query,ground_truth,prediction,Accuracy (EM),faithfulness
SciFact,Qwen/Qwen2.5-7B-Instruct,0-dimensional biomaterials show inductive properties.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,"1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.",SUPPORT,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,"1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.",SUPPORT,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,1/2000 in UK have abnormal PrP positivity.,SUPPORT,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,5% of perinatal mortality is due to low birth weight.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,A deficiency of vitamin B12 increases blood levels of homocysteine.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.,REFUTE,SUPPORT,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.,REFUTE,SUPPORT,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,"A total of 1,000 people in the UK are asymptomatic carriers of vCJD infection.",REFUTE,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,ADAR1 binds to Dicer to cleave pre-miRNA.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,ADAR1 binds to Dicer to cleave pre-miRNA.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,AIRE is expressed in some skin tumors.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,ALDH1 expression is associated with better breast cancer outcomes.,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,ALDH1 expression is associated with poorer prognosis in breast cancer.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation causing GABA neuron degeneration.,SUPPORT,REFUTE,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,"APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation, delaying GABA neuron degeneration.",REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Activation of PPM1D suppresses p53 function.,SUPPORT,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Activation of PPM1D suppresses p53 function.,SUPPORT,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Activator-inhibitor pairs are provided dorsally by Admpchordin.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,"Active H. pylori urease has a polymeric structure that compromises two subunits, UreA and UreB.",NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Albendazole is used to treat lymphatic filariasis.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Alizarin forms hydrogen bonds with residues involved in PGAM1 substrate binding.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,All hematopoietic stem cells segregate their chromosomes randomly.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.,SUPPORT,SUPPORT,1,0
